material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300001-10.008,"Steinwolle: Platten, Matten, Rollen; nicht überwacht",,Dämmung,KBOB,10.008,,200,1.1896,1.13,0.0596
SPAG-300002-10.008,Steinwolle: lose; nicht überwacht,,Dämmung,KBOB,10.008,,100,1.1896,1.13,0.0596
SPAG-300029-10.008,COVERROCK 036 (60-200mm),,,KBOB,10.008,,110,1.1896,1.13,0.0596
SPAG-300030-10.008,COVERROCK II (80-200mm),,,KBOB,10.008,,130,1.1896,1.13,0.0596
SPAG-300047-10.008,"PAROC FAS 2, FAS 2cc (LINIO 10, LINIO 10cc) (40-240mm)",,,KBOB,10.008,,100,1.1896,1.13,0.0596
SPAG-300048-10.008,PAROC UNS 37 (40-240mm),,,KBOB,10.008,,32,1.1896,1.13,0.0596
SPAG-300049-10.008,PAROC UNS 34 (40-200mm),,,KBOB,10.008,,40,1.1896,1.13,0.0596
SPAG-300050-10.008,"PAROC WAS 45, WAS 50 (40-200mm)",,,KBOB,10.008,,60,1.1896,1.13,0.0596
SPAG-300057-10.008,Sillatherm WVP 1-035 (40-200mm),,,KBOB,10.008,,120,1.1896,1.13,0.0596
SPAG-300061-10.008,swissporROC Typ 150 (60-200mm),swisspor,,KBOB,10.008,,150,1.1896,1.13,0.0596
SPAG-300063-10.008,swissporROC Bodenplatte TS (15-40mm),swisspor,,KBOB,10.008,,100,1.1896,1.13,0.0596
SPAG-300064-10.008,swissporROC Brandriegel (40-400mm),swisspor,,KBOB,10.008,,90,1.1896,1.13,0.0596
SPAG-300065-10.008,swissporROC Lamellen WVL (40-400mm),swisspor,,KBOB,10.008,,90,1.1896,1.13,0.0596
SPAG-300066-10.008,PAROC BLT 7,,,KBOB,10.008,,85,1.1896,1.13,0.0596
SPAG-300067-10.008,PAROC BLT 5,,,KBOB,10.008,,65,1.1896,1.13,0.0596
SPAG-300068-10.008,steinwool-Mineralwolle-Flocken (10-400mm),,,KBOB,10.008,,120,1.1896,1.13,0.0596
SPAG-300069-10.001,"Glaswolle: Platten, Matten, Rollen; nicht überwacht",,,KBOB,10.001,,120,1.0996,1.04,0.0596
SPAG-300070-10.001,Glaswolle: lose; nicht überwacht,,,KBOB,10.001,,100,1.0996,1.04,0.0596
SPAG-300086-10.001,SAGLAN (030) FA 50 Carbolane (30-200mm),SAGLAN,,KBOB,10.001,,50,1.0996,1.04,0.0596
SPAG-300093-10.001,SAGLAN (031) SB 55 / SB 55 K / SA 55 Vs (20-200mm),SAGLAN,,KBOB,10.001,,55,1.0996,1.04,0.0596
SPAG-300095-10.001,SAGLAN (032) SR 30 / SI 30 / SK 32 / SKN 32 (80-240mm),SAGLAN,,KBOB,10.001,,30,1.0996,1.04,0.0596
SPAG-300097-10.001,SAGLAN (032) SB 40 / SR 40 / SA 40 A / SK 40 Vs (20-300mm),SAGLAN,,KBOB,10.001,,38,1.0996,1.04,0.0596
SPAG-300100-10.001,SAGLAN (035) SA 25 / SA 25 Vs / Si 25 / Si 25 A (20-185mm),SAGLAN,,KBOB,10.001,,25,1.0996,1.04,0.0596
SPAG-300101-10.001,SAGLAN (035) DF70 (60-160mm),SAGLAN,,KBOB,10.001,,70,1.0996,1.04,0.0596
SPAG-300156-10.001,"URSA TFP, TSP, TEP (13-55mm)",,,KBOB,10.001,,120,1.0996,1.04,0.0596
SPAG-300162-10.001,ISOVER WOLLE TRIV,,,KBOB,10.001,,40,1.0996,1.04,0.0596
SPAG-300163-10.001,Supafil Timber Frame (40-300mm),,,KBOB,10.001,,40,1.0996,1.04,0.0596
SPAG-300164-10.001,Supafil Cavity Wall (40-300mm),,,KBOB,10.001,,40,1.0996,1.04,0.0596
SPAG-300165-10.007,Schaumglas: Platten; nicht überwacht,,,KBOB,10.007,,150,1.1928,1.18,0.0128
SPAG-300166-10.007,FOAMGLAS W+F (40-160mm),,,KBOB,10.007,,100,1.1928,1.18,0.0128
SPAG-300167-10.007,FOAMGLAS Wall Board W+F (40-160mm),,,KBOB,10.007,,100,1.1928,1.18,0.0128
SPAG-300177-10.007,FOAMGLAS F (40-160mm),,,KBOB,10.007,,165,1.1928,1.18,0.0128
SPAG-300178-10.007,FOAMGLAS Tapered F (40-160mm),,,KBOB,10.007,,165,1.1928,1.18,0.0128
SPAG-300179-10.007,FOAMGLAS Ready Board F (40-160mm),,,KBOB,10.007,,165,1.1928,1.18,0.0128
SPAG-300180-10.007,FOAMGLAS Floor Board F (40-160mm),,,KBOB,10.007,,165,1.1928,1.18,0.0128
SPAG-300181-10.007,FOAMGLAS Perinsul S (40-160mm),,,KBOB,10.007,,165,1.1928,1.18,0.0128
SPAG-300182-10.013,"Schaumglas: lose, nicht überwacht",,,KBOB,10.013,,450,0.1628,0.15,0.0128
SPAG-300187-10.012,"Perlit, Vermiculit: lose; nicht überwacht",,,KBOB,10.012,,130,1.0528,1.04,0.0128
SPAG-300188-10.012,"Perlit, Vermiculit: Platten; nicht überwacht",,,KBOB,10.012,,240,1.0528,1.04,0.0128
SPAG-300191-10.012,BACHL HY Perlit Dämmschüttung,,,KBOB,10.012,,90,1.0528,1.04,0.0128
SPAG-300193-10.004,Polystyrol expandiert (EPS): Rohdichte 15-40 kg/m3; nicht überwacht,,,KBOB,10.004,,40,7.6,4.51,3.09
SPAG-300194-10.004,Polystyrol expandiert (EPS): Rohdichte <15 kg/m3; nicht überwacht,,,KBOB,10.004,,14,7.6,4.51,3.09
SPAG-300195-10.004,Baumit OPEN reflect (30-300mm),,,KBOB,10.004,,18,7.6,4.51,3.09
SPAG-300200-10.004,BACHL Hartschaum Neopor / NeoStep (20-200mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300203-10.004,BACHL Hartschaum Neopor TS 033 neoStep (30-40mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300204-10.004,BACHL Hartschaum 038 (15-300mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300205-10.004,BACHL Automaten Perimeter (40-300mm),,,KBOB,10.004,,27,7.6,4.51,3.09
SPAG-300206-10.004,BACHL Automatenplatte mit Vlies 033 (40-200mm),,,KBOB,10.004,,27,7.6,4.51,3.09
SPAG-300207-10.004,BACHL EPS Dach 150 kPa (80-200mm),,,KBOB,10.004,,25,7.6,4.51,3.09
SPAG-300214-10.004,EPS-F Flapor Fassadendämmplatte (20-300mm),,,KBOB,10.004,,19,7.6,4.51,3.09
SPAG-300215-10.004,Flapor plus EPS-W20 Wärmedämmplatte (20-300mm),,,KBOB,10.004,,21,7.6,4.51,3.09
SPAG-300232-10.004,Trittschalldämmplatte EPS 040 DES sg (20-50mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300235-10.004,"Perimeterdämmung/Sockelplatte Perimaxx, 5 in 1, SP3 (10-400mm)",,,KBOB,10.004,,27,7.6,4.51,3.09
SPAG-300238-10.004,FRAGMAT NEO SUPER F (10-300mm),,,KBOB,10.004,,18,7.6,4.51,3.09
SPAG-300240-10.004,FRAGMAT NEO SUPER F 031 (10-300mm),,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300242-10.004,goEPS Integral 031 (100-300mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300245-10.004,goEPS weiss 033 (10-500mm),,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300246-10.004,goEPS weiss 036 (10-500mm),,,KBOB,10.004,,21,7.6,4.51,3.09
SPAG-300247-10.004,goEPS weiss 038 (10-500mm),,,KBOB,10.004,,16,7.6,4.51,3.09
SPAG-300249-10.004,Trittschalldämmplatte EPS 045 DES sm (15-60mm),,Dämmung,KBOB,10.004,,13,7.6,4.51,3.09
SPAG-300251-10.004,"EPS 038 DAA, DAD, DEO (10-400mm)",,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300253-10.004,"EPS 034 DAA dh150, DAD dh150, DEO dh150 (10-500mm)",,,KBOB,10.004,,25,7.6,4.51,3.09
SPAG-300254-10.004,"EPS 034 DAA dm120, DAD dm120, DEO dm120 (10-500mm)",,,KBOB,10.004,,25,7.6,4.51,3.09
SPAG-300275-10.004,SAGEX Nero (030) 15 (10-500mm),,,KBOB,10.004,,16,7.6,4.51,3.09
SPAG-300276-10.004,SAGEX Zebra (030) (80-300mm),,,KBOB,10.004,,17,7.6,4.51,3.09
SPAG-300277-10.004,EPS Dalmatiner (032) (80-300mm),,,KBOB,10.004,,18,7.6,4.51,3.09
SPAG-300278-10.004,SAGEX (033) 30 (10-500mm),,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300279-10.004,SAGEX (033) 25 DS 150 (20-280mm),,,KBOB,10.004,,25,7.6,4.51,3.09
SPAG-300280-10.004,SAGEX (036) 20 (10-500mm),,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300281-10.004,SAGEX (038) 15 (10-500mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300282-10.004,SAGEX Zebra (031) 15 (80-300mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300284-10.004,"ISOVER EPS Dämmplatte DI, DZ, WI, WZ, WAP (10-500mm)",ISOVER,,KBOB,10.004,,16,7.6,4.51,3.09
SPAG-300285-10.004,"ISOVER EPS Dämmplatte DEO dm, DAA dm, DAD dm, WAB (10-500mm)",ISOVER,,KBOB,10.004,,21,7.6,4.51,3.09
